location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,price_per_meter
Московская область,sale,flat,2,4,1,35.95,4505000.0,,,,,Микрорайон Новая Елизаветка,2024,-1.0,-1,-1.0,Без отделки,-1,"11,4 м²",125312.93463143254
Московская область,sale,flat,2,25,1,29.9,7200000.0,,Юбилейный проспект,68,Никольское,Новокосино-2,-1,-1.0,-1,-1.0,-1,-1,8 м²,240802.6755852843
Московская область,sale,flat,2,24,1,30.3,5322250.0,Прикубанский, Имени Героя Георгия Бочарникова,2к1,,Улыбка,2024,-1.0,Монолитно-кирпичный,-1.0,"Без отделки, предчистовая, черновая, чистовая",-1,"9,3 м²",175651.81518151815
Московская область,sale,flat,7,16,1,24.0,9450000.0,, Сальвадора Дали,1к3,Прокшино,,2022,-1.0,-1,-1.0,-1,15 м²,9 м²,393750.0
Московская область,sale,flat,2,25,1,29.9,7200000.0,,Юбилейный проспект,68,Никольское,Новокосино-2,-1,-1.0,-1,-1.0,-1,-1,8 м²,240802.6755852843
Московская область,sale,flat,2,17,1,35.78,8766100.0,Советский,ПК1-2,ПК1-2,Горки,Мой Ритм ЖК,2026,-1.0,"Монолитно-кирпичный, монолитный",-1.0,"Без отделки, предчистовая","15,9 м²","9,6 м²",245000.0
Московская область,sale,flat,9,17,1,36.8,7600000.0,, Декабристов,8,ВДНХ,На высоте,-1,-1.0,-1,-1.0,-1,18 м²,10 м²,206521.7391304348
Московская область,sale,flat,1,5,1,35.3,2950000.0,Конаково, Гагарина,12,,,-1,-1.0,-1,-1.0,-1,"20,5 м²",7 м²,83569.40509915014
Московская область,sale,flat,4,33,1,42.9,23600000.0,Останкинский, Годовикова,11к2,Алексеевская,iLove,-1,-1.0,-1,-1.0,-1,"22,9 м²",15 м²,550116.5501165502
Московская область,sale,flat,2,24,1,38.8,7398000.0,,,,,Айвазовский City,2026,-1.0,"Монолитно-кирпичный, монолитный",-1.0,"Предчистовая, черновая, чистовая","12,1 м²","14,8 м²",190670.1030927835
Московская область,sale,flat,10,11,-1,40.5,10969344.0,Василеостровский,проспект Средний Васильевского острова,87к3,Василеостровская,Клубные апартаменты Next,2020,-1.0,-1,-1.0,-1,-1,-1,270848.0
Московская область,sale,flat,6,8,-1,27.8,12927000.0,Петроградский,проспект Малый Петроградской стороны,79-81-83,Петроградская,,2023,-1.0,-1,-1.0,-1,"12,5 м²",-1,465000.0
Московская область,sale,flat,5,9,1,25.0,4775000.0,Прикубанский, Западный обход,42лит2/8,,Sport Village,2024,-1.0,"Монолитно-кирпичный, монолитный",-1.0,"Предчистовая, чистовая",-1,-1,191000.0
