location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters
Москва,sale,flat,3,5,1,46.3,41670000.0,Замоскворечье,Озерковская набережная,6.0,Новокузнецкая,Bogenhouse,-1,-1.0,-1,-1.0,-1,32 м²,-1
Москва,sale,flat,4,5,1,33.0,9800000.0,Восточное Измайлово,11-я Парковая ,34.0,Первомайская,,-1,-1.0,-1,-1.0,-1,20 м²,9 м²
Москва,sale,flat,2,59,4,94.9,,Можайский,Ленинградский проспект,23.840736040609137,Давыдково,Веер ЖК,2028,-1.0,Монолитно-кирпичный,-1.0,Предчистовая,"54,6 м²",-1
Москва,sale,flat,4,29,1,57.9,33900000.0,Филевский парк,Береговой проезд,3.0,Фили,Береговой,-1,-1.0,-1,-1.0,-1,12 м²,32 м²
Москва,sale,flat,7,21,4,160.6,168000000.0,Пресненский,2-я Звенигородская ,16.0,Улица 1905 года,Lucky,2023,-1.0,-1,-1.0,-1,109 м²,10 м²
Москва,sale,flat,13,16,4,158.0,180000000.0,Раменки,Воробьевское шоссе,23.840736040609137,Поклонная,Воробьёв Дом,2017,-1.0,-1,-1.0,-1,109 м²,15 м²
Москва,sale,flat,43,47,3,79.1,32036687.0,Обручевский,Ленинградский проспект,23.840736040609137,Воронцовская,Архитектор ЖК,2024,-1.0,Монолитно-кирпичный,-1.0,"Без отделки, предчистовая, чистовая","39,8 м²","17,8 м²"
Москва,sale,flat,2,6,3,80.0,82000000.0,Замоскворечье,Большой Ордынский переулок,23.840736040609137,Третьяковская,Собрание клубных домов ORDYNKA,2019,-1.0,-1,-1.0,-1,-1,-1
Москва,sale,flat,15,19,3,107.0,98900000.0,Раменки,Ломоносовский проспект,23.840736040609137,Университет,Dominion,-1,-1.0,-1,-1.0,-1,92 м²,8 м²
Москва,sale,flat,25,26,3,63.3,29505510.0,Нагатино-Садовники,Нагатинская набережная,23.840736040609137,Нагатинская,Level Нагатинская,2024,-1.0,Монолитный,-1.0,"Без отделки, предчистовая","25,5 м²",18 м²
Москва,sale,flat,2,10,4,136.1,152135071.0,Дорогомилово,Ленинградский проспект,23.840736040609137,Поклонная,Виктори Парк Резиденсез ЖК,2024,-1.0,Монолитный,-1.0,Чистовая,-1,-1
Москва,sale,flat,22,22,1,17.2,8780000.0,Тропарево-Никулино,Ленинский проспект,158.0,Юго-Западная,,1980,-1.0,-1,-1.0,-1,"9,2 м²",3 м²
Москва,sale,flat,4,15,1,32.4,14000000.0,Хорошевский,Ходынский бульвар,23.840736040609137,ЦСКА,Лайнер,2017,-1.0,-1,-1.0,-1,18 м²,6 м²
Москва,sale,flat,24,37,1,35.0,12112893.0,Нижегородский,Ленинградский проспект,23.840736040609137,Нижегородская,Левел Нижегородская ЖК,2026,-1.0,Монолитный,-1.0,"Без отделки, предчистовая, чистовая","11,8 м²",-1
Москва,sale,flat,4,33,3,74.72,44301488.0,Пресненский,к2.3,23.840736040609137,Белорусская,Репаблик ЖК,2025,-1.0,Монолитный,-1.0,"Без отделки, предчистовая","44,6 м²",-1
Москва,sale,flat,11,19,3,139.5,90000000.0,Хорошево-Мневники,Шелепихинская набережная,23.840736040609137,Шелепиха,,2019,-1.0,-1,-1.0,-1,80 м²,17 м²
Москва,sale,flat,8,17,3,142.1,91228200.0,Гагаринский,Ленинский проспект,38.0,Ленинский проспект,Lunar,2024,-1.0,-1,-1.0,Неизвестно,"92,3 м²","8,2 м²"
Москва,sale,flat,3,14,3,72.0,38000000.0,Раменки,проспект Генерала Дорохова,23.840736040609137,Минская,Собрание клубных домов West Garden,2023,-1.0,-1,-1.0,-1,50 м²,10 м²
Москва,sale,flat,3,6,3,138.0,129000000.0,Тверской,1-й Колобовский переулок,14.0,Трубная,,2005,-1.0,-1,-1.0,-1,-1,15 м²
Москва,sale,flat,4,5,2,41.0,18950000.0,Мещанский,Трифоновская ,55.0,Рижская,,1963,-1.0,-1,-1.0,-1,28 м²,6 м²
Москва,sale,flat,4,27,2,65.91,44571000.0,Крылатское,Крылатская ,23.0,Молодёжная,Дом Горизонтов,2027,-1.0,-1,-1.0,Без отделки,"43,3 м²","17,6 м²"
Москва,sale,flat,5,24,2,75.0,48000000.0,Хорошево-Мневники,Шелепихинская набережная,23.840736040609137,Шелепиха,Сердце Столицы,-1,-1.0,-1,-1.0,-1,38 м²,22 м²
Москва,sale,flat,4,44,2,60.0,39900000.0,Даниловский,Дубининская ,23.840736040609137,Павелецкая,Павелецкая Сити,2023,-1.0,-1,-1.0,-1,40 м²,16 м²
Москва,sale,flat,2,11,2,47.0,25295400.0,,Ленинградский проспект,23.840736040609137,Серебряный Бор,Сберсити ЖК,2026,-1.0,Монолитно-кирпичный,-1.0,"Без отделки, чистовая","25,5 м²",6 м²
Москва,sale,flat,3,14,3,138.9,236130000.0,Хамовники,переулок 1-й Тружеников,16.0,Киевская,Brodsky,-1,-1.0,-1,-1.0,-1,-1,-1
Москва,sale,flat,11,22,2,80.0,34899000.0,Черемушки,Севастопольский проспект,23.840736040609137,Зюзино,,2009,-1.0,-1,-1.0,-1,40 м²,"35,5 м²"
Москва,sale,flat,7,18,3,84.9,60621401.0,Донской,2-й Донской проезд,10.0,Ленинский проспект,SHIFT,2028,-1.0,Монолитный,-1.0,"Без отделки, чистовая",-1,-1
Москва,sale,flat,14,15,3,133.91,227647000.0,Хамовники, Усачева,15.0,Спортивная,Садовые кварталы,2022,-1.0,-1,-1.0,-1,"98,9 м²",30 м²
Москва,sale,flat,6,12,3,120.9,72200000.0,Мещанский,Протопоповский переулок,23.840736040609137,Проспект Мира,,2004,-1.0,-1,-1.0,-1,93 м²,15 м²
Москва,sale,flat,2,6,3,118.66,195551680.0,Замоскворечье,Космодамианская набережная,23.840736040609137,Новокузнецкая,Клубный дом Космо 4/22,2024,-1.0,Монолитно-кирпичный,-1.0,Без отделки,48 м²,"32,6 м²"
Москва,sale,flat,27,53,3,124.0,118000000.0,Раменки,Мосфильмовская ,8.0,Ломоносовский проспект,Дом на Мосфильмовской,2011,-1.0,-1,-1.0,-1,86 м²,"17,3 м²"
Москва,sale,flat,4,21,3,99.0,140000000.0,Якиманка,Донская ,14.0,Шаболовская,Медный 3.14,2021,-1.0,-1,-1.0,-1,58 м²,9 м²
Москва,sale,flat,9,28,3,87.7,32115301.0,Даниловский,Ленинградский проспект,23.840736040609137,Павелецкая,Павелецкая Сити ЖК,2027,-1.0,"Монолитно-кирпичный, монолитный, кирпичный",-1.0,"Без отделки, предчистовая","57,7 м²",-1
Москва,sale,flat,5,7,3,74.9,41500000.0,Басманный, Земляной Вал,23.840736040609137,Курская,,-1,-1.0,-1,-1.0,-1,-1,-1
Москва,sale,flat,4,26,2,55.5,19288526.0,Соколиная гора,Ленинградский проспект,23.840736040609137,Соколиная гора,Семеновский Парк 2 ЖК,2025,-1.0,Монолитный,-1.0,Без отделки,"25,9 м²","21,8 м²"
Москва,sale,flat,3,14,2,106.9,160350000.0,Хамовники,переулок 1-й Тружеников,16.0,Киевская,Brodsky,-1,-1.0,-1,-1.0,-1,-1,-1
Москва,sale,flat,6,9,2,60.0,18500000.0,, Ясеневая,23.840736040609137,Ольховая,Дубровка,2013,-1.0,-1,-1.0,-1,25 м²,25 м²
Москва,sale,flat,14,52,2,45.0,23611500.0,Хорошевский,3-й Хорошевский проезд,23.840736040609137,,AMBER CITY,2028,-1.0,Монолитно-кирпичный,-1.0,"Без отделки, предчистовая, чистовая","25,9 м²","5,7 м²"
Москва,sale,flat,9,14,3,102.0,133500000.0,Хамовники, Усачева,23.840736040609137,Спортивная,Садовые кварталы,2022,-1.0,-1,-1.0,-1,71 м²,15 м²
Москва,sale,flat,14,22,3,84.0,45000000.0,Свиблово,Сельскохозяйственная ,23.840736040609137,Ботанический сад,LIFE-Ботанический сад,2020,-1.0,-1,-1.0,-1,40 м²,11 м²
Москва,sale,flat,3,11,3,85.9,77617693.0,Даниловский,Ленинградский проспект,23.840736040609137,Павелецкая,Опус ЖК,2025,-1.0,Монолитно-кирпичный,-1.0,Без отделки,-1,-1
Москва,sale,flat,6,15,3,140.0,300000000.0,Хамовники, Усачева,15.0,Спортивная,Садовые кварталы,-1,-1.0,-1,-1.0,-1,-1,"18,5 м²"
Москва,sale,flat,2,21,3,66.59,14137723.0,Нижегородский,Ленинградский проспект,23.840736040609137,Калитники,Н'айс Лофт ЖК,2024,-1.0,Монолитно-кирпичный,-1.0,Без отделки,-1,-1
Москва,sale,flat,5,35,3,95.73,40514371.0,Котловка,31/2,23.840736040609137,Профсоюзная,Новые Академики ЖК,2027,-1.0,Монолитный,-1.0,Без отделки,"61,6 м²","9,1 м²"
Москва,sale,flat,5,12,3,136.9,250000000.0,Хамовники, Усачева,13.0,Спортивная,Садовые кварталы,-1,-1.0,-1,-1.0,-1,-1,"20,6 м²"
Москва,sale,flat,9,14,3,127.9,95797100.0,Раменки, Сергея Бондарчука,2.0,Мичуринский проспект,Река,2026,-1.0,Монолитный,-1.0,"Без отделки, чистовая с мебелью","42,7 м²","35,3 м²"
Москва,sale,flat,1,5,3,65.1,17500000.0,Марьина роща,4-й Стрелецкий проезд,13.0,Савёловская,,-1,-1.0,-1,-1.0,-1,"36,6 м²","6,7 м²"
Москва,sale,flat,13,24,3,64.8,22900000.0,Донской,Новоданиловская набережная,8.0,Верхние котлы,Новоданиловская 8,2022,-1.0,-1,-1.0,-1,-1,20 м²
Москва,sale,flat,18,47,3,81.43,37261472.0,Хорошево-Мневники,Ленинградский проспект,23.840736040609137,Полежаевская,Джойс ЖК,2027,-1.0,Монолитный,-1.0,Предчистовая,-1,-1
Москва,sale,flat,7,20,4,178.0,77000000.0,Черемушки,Новочеремушкинская ,23.840736040609137,Профсоюзная,Адмирал,-1,-1.0,-1,-1.0,-1,-1,10 м²
